time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
09-2022,1194548.16575,834532.67377,2029080.83952,43780.71412,26556.11897,70336.83309,2099417.67261,1299538.32779,3398956.0004,LNC - Dominic Perrottet
10-2022,1199957.9431,841982.10635,2041940.04945,44304.26206,23004.72397,67308.98603,2109249.03548,1296443.9649099999,3405693.00039,LNC - Dominic Perrottet
11-2022,1192039.16019,868805.09633,2060844.2565199998,35277.790199999996,28969.982900000003,64247.773100000006,2125092.02962,1287327.97076,3412420.00038,LNC - Dominic Perrottet
12-2022,1226298.91558,851045.15686,2077344.0724400003,35501.75812,24658.3382,60160.096320000004,2137504.1687600003,1281650.83164,3419155.0004000003,LNC - Dominic Perrottet
01-2023,1183368.12034,823667.85465,2007035.97499,34618.20717,26706.45231,61324.65948,2068360.6344700002,1359584.36592,3427945.0004000003,LNC - Dominic Perrottet
02-2023,1235752.95806,839644.3579599999,2075397.3160199998,41452.65695,27094.922010000002,68547.57896,2143944.8949900004,1292800.1054399998,3436745.00042,LNC - Dominic Perrottet
03-2023,1212431.87264,839524.67273,2051956.54538,44173.787619999996,29536.119759999998,73709.90737,2125666.45275,1319863.54767,3445530.00042,LNC - Dominic Perrottet
04-2023,1251556.4971999999,810339.24452,2061895.74171,46751.35388,22134.05264,68885.40653,2130781.14824,1321004.85215,3451786.00039,Labor - Chris Minns
05-2023,1256937.83865,828963.42542,2085901.2640699998,42962.67697,27967.86025,70930.53722,2156831.80129,1301198.19911,3458030.0004000003,Labor - Chris Minns
06-2023,1260333.8797,824973.60976,2085307.4894599998,34102.22443,22564.2957,56666.520130000004,2141974.0095900004,1322311.99082,3464286.00042,Labor - Chris Minns
07-2023,1247724.3444,811699.91547,2059424.2598699997,45496.09031,25796.46796,71292.55827,2130716.81814,1341512.1822900001,3472229.00043,Labor - Chris Minns
08-2023,1232721.0196399998,833003.92074,2065724.94038,44654.53185,33096.32517,77750.85702,2143475.79739,1336669.20301,3480145.0004,Labor - Chris Minns
09-2023,1242110.19256,826223.4660100001,2068333.65857,40390.6544,29759.19613,70149.85053,2138483.5091,1349602.49129,3488086.00039,Labor - Chris Minns
10-2023,1251111.2297,835878.4355400001,2086989.6652399998,42999.84619,31132.67743,74132.52362,2161122.1888599996,1332961.81153,3494084.00038,Labor - Chris Minns
11-2023,1257676.62699,848985.19574,2106661.8227399997,39776.70848,27178.21873,66954.92721,2173616.74995,1326472.25045,3500089.0003899997,Labor - Chris Minns
