time_period,employed_ft,employed_pt,employed_persons,unemployed_ft_work,unemployed_pt_work,unemployed_persons,labour_force,not_in_labour_force,civ_popln,political_party
09-2017,1705160.42638,363810.04732,2068970.4737000002,74839.49851,26276.69714,101116.19565,2170086.66936,969727.33046,3139813.99981,LNC - Gladys Berejiklian
10-2017,1702732.13685,364356.01360999997,2067088.1504499998,73124.85633,22827.96809,95952.82442,2163040.97487,979640.02494,3142680.99981,LNC - Gladys Berejiklian
11-2017,1718388.4663500001,365580.75127,2083969.2176100002,82661.8401,18416.695829999997,101078.53593,2185047.75355,960488.24627,3145535.99982,LNC - Gladys Berejiklian
12-2017,1727333.84114,363509.51444,2090843.3555800002,88972.53505,28380.41906,117352.95412000001,2208196.3096999996,940206.69016,3148402.99985,LNC - Gladys Berejiklian
01-2018,1690540.50367,366515.32601,2057055.8296899998,96354.84893000001,27262.17268,123617.02161,2180672.8512999997,973280.1485700001,3153952.99987,LNC - Gladys Berejiklian
02-2018,1732874.68781,367633.21779,2100507.9056,90087.90476,24930.12913,115018.03388999999,2215525.9395,943990.0603700001,3159515.9998600003,LNC - Gladys Berejiklian
03-2018,1713432.7972799998,375734.86272000003,2089167.6600000001,81243.92469999999,31067.26114,112311.18583999999,2201478.8458399996,963586.154,3165064.9998399997,LNC - Gladys Berejiklian
04-2018,1709041.46392,392166.02308,2101207.4869899997,79929.2821,32976.69786,112905.97997,2214113.46696,954307.5329,3168420.9998500003,LNC - Gladys Berejiklian
05-2018,1707794.02935,385112.41693,2092906.4462800003,80050.90822,25561.77353,105612.68174999999,2198519.1280300003,973247.87182,3171766.99986,LNC - Gladys Berejiklian
06-2018,1712440.79162,395680.28521,2108121.07683,80951.94587,24149.17088,105101.11675,2213222.1935900003,961899.80626,3175121.9998500003,LNC - Gladys Berejiklian
07-2018,1720538.38044,379618.73689999996,2100157.11734,81487.46911,26854.34058,108341.80969000001,2208498.92703,971262.0728000001,3179760.99983,LNC - Gladys Berejiklian
08-2018,1715535.42443,391540.24563,2107075.67007,72712.7415,28997.51725,101710.25875,2208785.92881,975614.07103,3184399.99985,LNC - Gladys Berejiklian
09-2018,1717506.6869899998,398818.22854,2116324.91553,68504.17821000001,26413.61552,94917.79373,2211242.70926,977796.29061,3189038.9998700004,LNC - Gladys Berejiklian
10-2018,1725194.47991,388012.21265,2113206.6925600003,71367.93649000001,30158.74839,101526.68488,2214733.37743,977248.6224199999,3191981.99986,LNC - Gladys Berejiklian
11-2018,1740219.5259,386103.15212,2126322.67802,71907.39265000001,25731.73983,97639.13248,2223961.8105,970961.18935,3194922.99985,LNC - Gladys Berejiklian
12-2018,1728315.41943,417757.38831,2146072.80774,71000.97331,25769.837509999998,96770.81083,2242843.6185700004,955021.38132,3197864.99989,LNC - Gladys Berejiklian
01-2019,1732946.7386999999,386171.68934,2119118.42805,82762.17014,18806.2538,101568.42394000001,2220686.85199,981834.14787,3202520.99985,LNC - Gladys Berejiklian
02-2019,1738392.75356,413903.75213,2152296.5057,83212.71206,21133.45134,104346.16339999999,2256642.6691,950528.33073,3207170.9998299996,LNC - Gladys Berejiklian
03-2019,1743150.41354,413707.49954,2156857.91308,77034.4239,25775.96848,102810.39237999999,2259668.30545,952167.69437,3211835.99982,LNC - Gladys Berejiklian
